Animal,Height (cm),Weight (kg),Color,Lifespan (years),Diet,Habitat,Conservation Status,Family,Gestation Period (days),Feeding Behavior,Nutritional Content
Elephant,270-310,2700-6000,Grey,60-70,Herbivore,"Savannah, Forest",Vulnerable,Elephantidae,640-660,Herbivore,"High in fiber, low in fat"
Lion,80-110,120-250,Tan,Oct-14,Carnivore,"Grasslands, Savannas",Vulnerable,Felidae,98-105,Carnivore,High in protein
Wild Dog,75-80,18-36,Multicolored,10-Dec,Carnivore,Savannahs,Endangered,Canidae,70,Carnivore,High in protein
Bison,152-186,318-1000,Brown,15-20,Herbivore,"Grasslands, Plains",Near Threatened,Bovidae,270-290,Herbivore,"High in protein, iron, and zinc"
Anteater,52-91,22-41,"Brown, White",15-20,Insectivore,"Grasslands, Forests",Least Concern,Myrmecophagidae,190-210,Insectivore,High in protein
Horse,140-160,380-1000,Various,25-30,Herbivore,"Middle East, North Africa",Not Applicable,Equidae,330-342,Herbivore,"High in fiber, protein, and iron"
Fox,25-30,2.5-9,White,03-Jun,Omnivore,Tundra,Least Concern,Canidae,52-60,Omnivore,Varied
Bengal Fox,35-40,2.5-4,Yellowish-gray,06-Aug,Omnivore,Grasslands,Least Concern,Canidae,50-60,Omnivore,Varied
Bengal Tiger,90-110,220-260,"Orange, Black",Oct-15,Carnivore,"Grasslands, Mangroves",Endangered,Felidae,104-106,Carnivore,High in protein
Black Rhinoceros,132-180,800-1400,"Gray, Black",35-50,Herbivore,"Grasslands, Forests",Critically Endangered,Rhinocerotidae,450-480,Herbivore,"High in fiber, low in fat"
Bornean Orangutan,96-150,30-82,Reddish-brown,35-45,Omnivore,Rainforests,Critically Endangered,Hominidae,230-270,Omnivore,Varied
Brown Bear,70-120,70-780,Brown,20-30,Omnivore,"Forests, Mountains",Least Concern,Ursidae,180-250,Omnivore,Varied
Burmese Python,Up to 460,Up to 90,"Brown, Black",20-25,Carnivore,"Grasslands, Forests",Least Concern,Pythonidae,88-100,Carnivore,High in protein
Cheetah,70-90,20-72,Tan with Black Spots,10-Dec,Carnivore,"Grasslands, Savannas",Vulnerable,Felidae,90-98,Carnivore,High in protein
Chimpanzee,Up to 160,26-70,Black,40-50,Omnivore,"Rainforests, Grasslands",Endangered,Hominidae,230-240,Omnivore,Varied
Dalmatian Dog,50-61,23-32,"White, Black",Oct-13,Omnivore,Worldwide,Not Applicable,Canidae,63,Omnivore,Varied
Dhole,50-55,13-20,"Red, Brown",Oct-15,Carnivore,"Forests, Grasslands",Endangered,Canidae,60-63,Carnivore,High in protein
Dingo,48-58,13-20,"Tan, Brown",Oct-15,Carnivore,"Grasslands, Forests",Least Concern,Canidae,63,Carnivore,High in protein
Eastern Gorilla,140-188,73-204,Black,40-50,Herbivore,Rainforests,Endangered,Hominidae,255-270,Herbivore,"High in fiber, vitamins, minerals"
Echidna,30-45,2.5-6.5,"Brown, Tan",15-20,Insectivore,"Forests, Grasslands",Least Concern,Tachyglossidae,22-28,Insectivore,High in protein
Emperor Penguin,100,22-45,"Black, White",15-20,Carnivore,Antarctic,Near Threatened,Spheniscidae,62-66,Carnivore,High in protein
Emperor Tamarin,23-26,0.3-0.4,"Black, White",Unknown,Omnivore,Rainforests,Least Concern,Callitrichidae,140-145,Omnivore,Varied
European Hedgehog,14-30,0.6-1.2,"Brown, Spiny",02-May,Omnivore,"Gardens, Grasslands",Least Concern,Erinaceidae,35,Omnivore,Varied
Fennec Fox,20-40,0.8-1.6,Cream,Unknown,Omnivore,Sahara Desert,Least Concern,Canidae,50-52,Omnivore,Varied
Flying Fox,Up to 40,Up to 1.1,"Brown, Gray",15-23,Herbivore,Forests,Least Concern,Pteropodidae,140-150,Herbivore,"High in fiber, vitamins"
Fossa,70-90,Up to 5,Brown,15-20,Carnivore,"Rainforests, Madagascar",Vulnerable,Eupleridae,90,Carnivore,High in protein
Galápagos Tortoise,Up to 183,Up to 417,"Brown, Grey",100-150,Herbivore,Galápagos Islands,Vulnerable,Testudinidae,135,Herbivore,"High in fiber, vitamins"
King Cobra,Up to 550,Up to 9,Olive-green,20-30,Carnivore,"Grasslands, Forests",Vulnerable,Elapidae,90-113,Carnivore,High in protein
